ID,Texto,Ruta_Audio,Num_Palabras,Num_Caracteres,Contiene_Python,Clasificaciones
1,Cuál es la capital de China,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_1.wav,6,27,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
2,Cómo se juega,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_2.wav,3,13,0,"['Esdrújula', 'Grave', 'Grave']"
3,Cómo se juega al tenis,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_3.wav,5,22,0,"['Esdrújula', 'Grave', 'Grave', 'Aguda', 'Grave']"
4,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_4.wav,1,4,0,['Grave']
5,Cuál es la capital de Italia,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_5.wav,6,28,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
6,Cuál es la capital de India,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_6.wav,6,27,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
7,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_7.wav,1,4,0,['Grave']
8,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_8.wav,1,4,0,['Grave']
9,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_9.wav,1,4,0,['Grave']
10,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_10.wav,1,4,0,['Grave']
11,adiós,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_11.wav,1,5,0,['Grave']
12,Cuántas veces cabe el 5 en el,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_12.wav,7,29,0,"['Esdrújula', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Aguda']"
13,pues ya aquí ya le puedes decir la capital de Croacia,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_13.wav,11,53,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Aguda', 'Grave', 'Grave']"
14,5 por 5 a la,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_14.wav,5,12,0,"['Grave', 'Aguda', 'Grave', 'Grave', 'Grave']"
15,Hola hola amor,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_15.wav,3,14,0,"['Grave', 'Grave', 'Aguda']"
16,Hola amor,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_16.wav,2,9,0,"['Grave', 'Aguda']"
17,Cuánto es 5 * 5,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_17.wav,5,15,0,"['Esdrújula', 'Grave', 'Grave', 'Grave']"
18,a este ruido Bueno aquí le dices algo pero Hola Me escuchas,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_18.wav,12,59,0,"['Grave', 'Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave']"
19,eh dime Cuánto es 500 por 1000 no está muy,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_19.wav,10,42,0,"['Aguda', 'Grave', 'Esdrújula', 'Grave', 'Aguda', 'Aguda', 'Aguda', 'Grave', 'Aguda', 'Aguda']"
20,mmm Dime qué estrategias tiene la agenda 2030 de la ONU eh En referencia al,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_20.wav,15,75,0,"['Aguda', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Aguda', 'Aguda', 'Grave', 'Grave', 'Aguda']"
21,Ahora sí este Este dime una receta de comida mexicana o algo así inteligencia,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_21.wav,14,77,0,"['Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Aguda', 'Grave']"
